Facility ID	Facility Name	Date	Source Sheet	Bill ID	Description	Charge
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010095	MRI UPR EXTR RT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010100	MRI UPR EXTR LT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010105	MRI BRACHIAL PLEX LT W/0	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010110	MRI BRACHIAL PLEX RT W/O	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010115	MRI FOREARM LT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010120	MRI HUMERUS RT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010125	MRI FOREARM RT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010130	MRI HUMERUS LT W/O CON	$3,237.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010175	MRI FOREARM RT W/WO CON	$4,370.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010180	MRI FOREARM LT W/WO CON	$4,370.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010185	MRI HUMERUS RT W/WO CON	$4,370.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010190	MRI HUMERUS LT W/WO CON	$4,370.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010200	MRI FEMUR RIGHT W/O CON	$4,119.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010205	MRI FEMUR LEFT W/O CON	$4,119.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010210	MRI TIB/FIB RT W/O CON	$4,119.00
140174	PRESENCE MERCY MEDICAL CENTER	12/15/2019	https://docs.google.com/spreadsheets/d/1YbLeMdXSDyM_WxLa3WmKc72opaF6ZH3Ott4OVZYuEjs/edit#gid=608674038	61010215	MRI TIB/FIB LT W/O CON	$4,119.00
